,Record Number,BBL,Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identificaiton Numbers (BINs),Street Number,Street Name,Borough,Postcode,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,NTA
6896,6340,2032500005.0,,2032500005,2015396,2830,SEDGWICK AVENUE,Bronx,10468.0,Filed,137.2,Not Available,177.7,Not Available,Not Available,Yes,None,Not Available,555.6,475.4,80.2,54000,54000.0,Multifamily Housing,1.0,40.873034999999994,-73.901953,8.0,14.0,26702.0,2015396.0,Van Cortlandt Village                                                      
5684,3662,1014550013.0,,1-01455-0013,1087436,421,EAST   60 STREET,Manhattan,10022.0,Filed,70.9,70.1,126.5,124.9,Not Available,No,None,Not Available,1402.6,775.2,627.4,309000,307000.0,Multifamily Housing,1.0,40.75996,-73.960853,8.0,5.0,10602.0,,Lenox Hill-Roosevelt Island                                                
11413,12168,2147483647.0,,2-14748-3647,4050460,,,Bronx,,BBL not valid,30.5,30.5,93.1,93.1,Not Available,,,Not Available,390.1,13.5,376.6,158427,,Office,,,,,,,,
11225,10208,4014530010.0,,4-01453-0010,4035763,92-16,34 AVENUE,Queens,11372.0,Filed,82.7,82.1,122.1,120.8,261.44,Yes,None,Not Available,291.9,209.6,82.3,60000,59723.0,Multifamily Housing,1.0,,,,,,,
16074,13186,1021807503.0,,,,736,WEST  187 STREET,Manhattan,10033.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,68630.0,,1.0,40.854729999999996,-73.935446,12.0,10.0,271.0,1087079.0,Washington Heights North                                                   
1336,1517,1008517501.0,,1-00851-7501,1016304,5,EAST   22 STREET,Manhattan,10010.0,Filed,69.6,69.6,135.8,136,47.1,Yes,ABS,Not Available,1681.7,777.7,904,370294,406656.0,Multifamily Housing,1.0,40.740426,-73.988976,5.0,2.0,56.0,1016304.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
13597,8150,3030820073.0,,Not Available,Not Available,249,MC KIBBIN STREET,Brooklyn,11206.0,Filed,20.6,20.4,64.6,64.1,14.91,No,Manual,Not Available,90.4,0,90.4,54000,72000.0,Other,1.0,40.705631,-73.937517,1.0,34.0,485.0,3071386.0,Bushwick South                                                             
4642,5299,1022470056.0,,1022470056,1065062,2,SEAMAN AVENUE,Manhattan,10034.0,Filed,142.1,Not Available,191.1,Not Available,3.36,No,Manual,Not Available,641.2,533.5,107.7,59200,56700.0,Multifamily Housing,1.0,40.866335,-73.927882,12.0,10.0,295.0,1065062.0,Marble Hill-Inwood                                                         
2806,3210,1013630031.0,,1-01363-0031,1040142,434,EAST   52 STREET,Manhattan,10022.0,Filed,95.4,94.2,150.3,148.6,Not Available,No,None,Not Available,494.6,326.3,168.3,86144,86182.0,Multifamily Housing,1.0,40.754757,-73.964389,6.0,4.0,8603.0,1040142.0,Turtle Bay-East Midtown                                                    
7324,6878,2040870025.0,,2-04087-0025,2044268,1575,WILLIAMSBRIDGE ROAD,Bronx,10461.0,Filed,,Not Available,,Not Available,Not Available,No,Manual,Not Available,520.6,440.9,79.7,Not Available,81500.0,Multifamily Housing,1.0,40.846422,-73.84838,11.0,13.0,256.0,2044268.0,Van Nest-Morris Park-Westchester Square                                    
